,College Name,Admissions Rate,Yield,Men Admissions Rate,Women Admissions Rate,Men Applied,Men Admitted,Men Enrolled,Women Admitted,Women Applied,Women Enrolled,Number of ED Applicants,Number of ED Applicants Admitted,EA Deadline,EA Notification,ED I Deadline,ED I Notification,ED II Deadline,ED II Notification,Average GPA,SAT Math 25%,SAT Math 75%,SAT Reading 25%,SAT Reading 75%,GPA >3.75,GPA >3.50,GPA >3.25,GPA >3.00,GPA >2.50,GPA >2.00,GPA >1.00 ,SAT Math (200-299),SAT Math (700-800),SAT Math (600-699),SAT Math (500-599),SAT Math (400-499),SAT Math (300-399),SAT Reading (700-800),SAT Reading (600-699),SAT Reading (500-599),SAT Reading (400-499),SAT Reading (300-399),SAT Reading (200-299),filename
92,Occidental College,0.45810578873459196,0.1709809264305177,0.437874251497006,0.4725715814824726,2672.0,1170.0,219.0,1766.0,3737.0,283.0,211.0,100.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,3.64,600.0,720.0,600.0,700.0,0.45,0.28,0.18,0.06,0.03,0.0,,1.0,0.25,0.53,0.21,0.01,,0.3,0.46,0.23,0.01,,1.0,occidental_college.txt
93,Hamilton College,0.2421627333568158,0.3490909090909091,0.24478764478764478,0.23996113989637305,2590.0,634.0,217.0,741.0,3088.0,263.0,620.0,252.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,,680.0,760.0,680.0,750.0,,,,,,,,1.0,0.6744,0.22039999999999998,0.1052,,,0.6742,0.2791,0.0467,,,1.0,hamilton_college.txt
94,Marquette University,,,,,,,,,,,,,,,,,,,,570.0,660.0,580.0,660.0,,,,,,,,0.0,0.1502,0.4435,0.3763,0.0286,0.0014000000000000002,0.0901,0.5465,0.34619999999999995,0.0172,0.0,0.0,marquette_university.txt
95,Texas A&M University,0.7008147132370735,0.38739257213014117,0.7092694380703346,0.6922284847171039,18739.0,13291.0,5222.0,12773.0,18452.0,4875.0,,,,,,,CDS-C Page 11,,,570.0,690.0,570.0,670.0,,,,,,,,0.0,0.2122,0.44659999999999994,0.3064,0.0338,0.0011,0.1387,0.496,0.3159,0.0482,0.0011,0.0,texas_a&m_university.txt
96,,0.047307875570076915,0.8167865707434053,0.04382041799260342,0.05120322782074067,23254.0,1019.0,827.0,1066.0,20819.0,876.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,,,700.0,780.0,690.0,760.0,0.9483,0.0398,0.0091,0.0028000000000000004,,,,1.0,0.755,0.222,0.023,,,0.7290000000000001,0.244,0.027000000000000003,,,1.0,stanford_university.txt
97,Bucknell University,0.3108358529210963,0.3053027925949168,0.28645640074211504,0.3378572897388443,5390.0,1544.0,474.0,1643.0,4863.0,499.0,762.0,420.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-15 00:00:00,2020-02-15 00:00:00,3.55,630.0,720.0,620.0,700.0,0.30519999999999997,0.2857,0.2425,0.12539999999999998,0.041100000000000005,,,0.0,0.3968,0.4575,0.1437,0.002,0.0,0.2713,0.5729,0.14980000000000002,0.0060999999999999995,0.0,0.0,bucknell_university.txt
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boston_university.txt
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,berea_college.txt
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university_of_miami.txt
101,The University of Texas at Austin,0.3648619520702291,0.44242749731471537,0.32060309503918527,0.40782360210071056,25137.0,8059.0,3591.0,10561.0,25896.0,4647.0,,,,,,,,,,610.0,740.0,620.0,720.0,,,,,,,,0.0,0.418,0.37,0.192,0.018000000000000002,0.001,0.377,0.449,0.154,0.019,0.001,0.0,ut_austin.txt
102,Tufts University,0.14819202881380028,0.4509114166933163,0.16730595667870035,0.13434665359156656,8864.0,1483.0,672.0,1644.0,12237.0,738.0,,,,,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,,710.0,780.0,700.0,760.0,,,,,,,,1.0,0.7865000000000001,0.1797,0.0338,,,0.7737999999999999,0.2051,0.021099999999999997,,,1.0,tufts.txt
103,Bates College,0.21933784800601958,0.4236706689536878,0.2504340277777778,0.19555112881806108,2304.0,577.0,253.0,589.0,3012.0,241.0,721.0,349.0,,,2019-11-15 00:00:00,2019-12-20 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,,630.0,720.0,640.0,730.0,,,,,,,,0.0048,0.38280000000000003,0.47369999999999995,0.134,0.0048,0.0,0.47850000000000004,0.42579999999999996,0.0718,0.0096,0.0144,0.0,bates_college.txt
104,Hendrix College,0.7979522184300342,0.2891360136869119,0.7987804878048781,0.7972805933250927,656.0,524.0,168.0,645.0,809.0,170.0,,,Nov 15 & Feb 1st,Dec 15 & Mar 1st,,,,,3.93,540.0,700.0,560.0,710.0,0.6677,0.1522,0.1025,0.0466,0.031,0.0,0.0,0.0,0.2632,0.31579999999999997,0.3289,0.09210000000000002,0.0,0.30260000000000004,0.3553,0.2895,0.0526,0.0,0.0,hendrix_college.txt
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university_of_florida.txt
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uc_santa_cruz.txt
107,Illinois Wesleyan University,0.5854689564068692,0.22292418772563177,0.5976070528967254,0.5766954938552572,1588.0,949.0,241.0,1267.0,2197.0,253.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,,,,,3.79,550.0,665.0,570.0,660.0,,,,,,,,0.0,0.14,0.4,0.42,0.04,0.0,0.13,0.46,0.37,0.04,0.0,0.0,illinois_wesleyan_university.txt
108,Sewanee: The University of the South,0.4672830725462304,0.22729578893962454,0.4222328244274809,0.5117813383600377,2096.0,885.0,212.0,1086.0,2122.0,236.0,180.0,116.0,2019-12-01 00:00:00,Mid-February,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-15 00:00:00,2020-02-15 00:00:00,3.73,590.0,680.0,620.0,700.0,0.46,0.22,0.18,0.09,0.04,0.01,,1.0,0.2,0.48,0.32,,,0.25,0.61,0.14,,,1.0,sewanee_college.txt
109,The Ohio State University - Columbus Campus,0.9909959072305593,0.36784140969163,0.9911357340720222,0.9908602150537634,1805.0,1789.0,721.0,1843.0,1860.0,615.0,,,,,,,,,,520.0,600.0,510.0,610.0,,,,,,,,0.0,0.02,0.25,0.54,0.14,0.05,0.02,0.3,0.47,0.19,0.02,0.0,ohio_state_university-newark.txt
110,Loyola University Chicago,0.7256956674885523,0.1590219633539619,0.6883080382237212,0.742754552449346,7116.0,4898.0,818.0,11584.0,15596.0,1803.0,,,,,,,,,,510.0,630.0,520.0,630.0,0.517,0.188,0.125,0.094,0.07400000000000001,0.002,0.0,0.0,0.07200000000000001,0.316,0.414,0.19,0.008,0.061,0.322,0.436,0.166,0.015,0.0,loyola_university.txt
111,University of Pittsburgh at Johnstown,0.6511406844106464,0.17907542579075425,0.6784400294334069,0.6304952698942682,1359.0,922.0,368.0,1133.0,1797.0,,,,,,,,,,3.57,510.0,600.0,510.0,600.0,0.42,0.2,0.14,0.11,0.09,0.04,0.0,0.0,0.04,0.23,0.57,0.15,0.01,0.01,0.27,0.54,0.17,0.01,0.0,university_of_pittsburg-johnstown.txt
112,The Ohio State University - Columbus Campus,0.4805993888912143,0.3136213203274691,0.4507865908903715,0.5114042553191489,24282.0,10946.0,3501.0,12018.0,23500.0,3701.0,,,2019-11-01 00:00:00,2020-01-15 00:00:00,,,,,,650.0,750.0,610.0,700.0,,,,,,,,1.0,0.52,0.35,0.11,0.02,,0.27,0.55,0.17,0.01,,1.0,ohio_state_university-columbus.txt
113,Colby College,0.225207427894113,0.2970760233918129,0.22041503084688727,0.22945120437049912,3566.0,786.0,249.0,924.0,4027.0,259.0,576.0,249.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,,640.0,740.0,630.0,720.0,,,,,,,,1.0,0.4487,0.4311,0.1144,0.0058,,0.44299999999999995,0.475,0.07,0.012,,1.0,colby_college.txt
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmu.txt
115,University of Michigan,,,,,,,,,,,,,2019-11-01 00:00:00,2019-12-24 00:00:00,,,,,,670.0,780.0,660.0,730.0,0.843,0.128,0.017,0.008,0.0,0.0,0.0,0.0,0.664,0.247,0.086,0.004,0.0,0.545,0.397,0.055,0.002,0.0,0.0,university_of_michigan.txt
116,MICHIGAN STATE UNIVERSITY,0.7154912431176161,0.3147718484145398,0.6972693561074278,0.7331698010357045,17798.0,12410.0,3957.0,13450.0,18345.0,4183.0,,,,,,CDS-C Page 11,,,,550.0,670.0,550.0,650.0,0.498,0.27699999999999997,0.128,0.061,0.033,0.002,0.0,0.0,0.129,0.40299999999999997,0.40399999999999997,0.06,0.004,0.08800000000000001,0.434,0.408,0.068,0.003,0.0,michigan_state_university.txt
117,University of California - Davis,0.42413149158169317,0.20127896005870635,0.36484207795576884,0.474040508816946,30838.0,11251.0,2090.0,17366.0,36634.0,3670.0,,,,,,,,CDS-C Page 10,3.99,540.0,700.0,510.0,630.0,0.8541,0.1072,0.0276,0.0095,0.0014000000000000002,0.0002,,0.0003,0.1125,0.3711,0.3346,0.1536,0.0279,0.25420000000000004,0.3385,0.2607,0.1245,0.0216,0.0005,uc_davis.txt
118,Wesleyan University,0.1628640776699029,0.3780427223050174,0.19294871794871796,0.14453125,4680.0,903.0,351.0,1110.0,7680.0,410.0,1153.0,439.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,,640.0,760.0,660.0,740.0,,,,,,,,1.0,0.526,0.365,0.10400000000000001,,,0.5710000000000001,0.349,0.08,,,1.0,wesleyan_university.txt
119,University of San Francisco,0.6571481550157612,0.21599887133182843,,0.6571481550157612,,,546.0,7088.0,10786.0,985.0,,53.0,2019-11-01 00:00:00,2019-12-14 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,"* 61 admitted, 8 of which defered to regul",,,650.0,,640.0,,0.2116,0.2273,0.226,0.2051,0.12869999999999998,1.3e-05,,1.0,0.10310000000000001,0.3619,0.47609999999999997,0.0571,0.0018,0.08470000000000001,0.45299999999999996,0.4033,0.0552,0.0038,1.1386,university_of_san_franscisco.txt
120,University of Puget Sound,0.8830715532286213,0.1290513833992095,0.8462161068393363,0.9110156489720773,2471.0,2091.0,267.0,2969.0,3259.0,386.0,110.0,98.0,2019-11-15 00:00:00,2020-01-15 00:00:00,2019-11-15 00:00:00,2019-12-15 00:00:00,,,,550.0,670.0,580.0,680.0,0.30469999999999997,0.2527,0.16690000000000002,0.17149999999999999,0.09949999999999999,0.0046,0.0,0.0,0.1413,0.4133,0.35729999999999995,0.0827,0.0053,0.19469999999999998,0.4827,0.2613,0.0587,0.0027,0.0,university_of_puget_sound.txt
121,University of Iowa,0.8603879714429942,0.19734305590478585,0.8393455098934551,0.8793339728655611,13140.0,11029.0,2043.0,12833.0,14594.0,2666.0,,,,,,,CDS-C Page 10,,3.69,570.0,690.0,570.0,680.0,0.49369999999999997,0.1905,0.1531,0.1013,0.057,0.0043,0.0,0.0,0.2443,0.37670000000000003,0.32420000000000004,0.0525,0.0023,0.2009,0.4543,0.2808,0.0594,0.0023,0.0023,university_of_iowa.txt
122,Dartmouth College,0.08736894658012981,0.6072727272727273,0.09184060721062619,0.08326807622030802,10540.0,968.0,590.0,957.0,11493.0,579.0,2269.0,574.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,CDS-C Page 11,,720.0,790.0,700.0,770.0,,,,,,,,1.0,0.83,0.15,0.02,,,0.77,0.21,0.02,,,1.0,dartmouth_university.txt
123,Tulane University,0.2149514345067655,0.24879195507378868,0.2069925080271138,0.22011385199240988,14015.0,2901.0,713.0,4756.0,21607.0,1192.0,1394.0,501.0,2019-11-15 00:00:00,2020-01-15 00:00:00,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-05 00:00:00,2020-01-19 00:00:00,3.56,660.0,750.0,670.0,740.0,0.3803,0.2379,0.1796,0.124,0.0704,0.0073,0.0005,0.0,0.5928,0.34630000000000005,0.0332,0.024900000000000002,0.0028000000000000004,0.6093999999999999,0.32409999999999994,0.0499,0.0166,0.0,0.0,tulane_university.txt
124,University of Connecticut,0.4589909282962595,0.4974956003790443,0.4589909282962595,,16094.0,7387.0,1778.0,,,1897.0,,,,,,,CDS-C Page 10,,,610.0,710.0,600.0,680.0,,,,,,,,0.0,0.29,,0.2,0.02,0.0,0.18,,0.22,0.02,0.0,0.0,university_of_connecticut.txt
125,Fordham University,,0.17766815441234046,,,,,954.0,12771.0,,1315.0,,,2019-12-20 00:00:00,Common Data Set 2017-2018,2019-11-01 00:00:00,2019-12-20 00:00:00,,319,,610.0,710.0,620.0,700.0,,,,,,,,,0.331,0.488,0.17300000000000001,0.008,0.9881,0.3,0.547,0.147,0.006,,,fordham_university.txt
126,Lafayette College,0.2939265995453069,0.2699815837937385,0.26320064987814784,0.3290053327150475,4924.0,1296.0,365.0,1419.0,4313.0,368.0,772.0,398.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-02-01 00:00:00,2020-02-15 00:00:00,3.51,630.0,735.0,620.0,700.0,0.2814,0.2623,0.2336,0.1516,0.06559999999999999,0.0040999999999999995,0.0014000000000000002,0.0,0.41409999999999997,0.44530000000000003,0.1387,0.002,0.0,0.29100000000000004,0.584,0.125,0.0,0.0,0.0,lafayette_college.txt
127,Northwestern University,0.09238036447569714,0.55287623474724,0.09335487105219184,0.09147415311302186,17953.0,1676.0,922.0,1766.0,19306.0,981.0,3830.0,1030.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,720.0,790.0,700.0,770.0,,,,,,,,1.0,0.79,0.19,0.01,0.01,,0.72,0.24,0.03,0.01,,1.0,northwestern_university.txt
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college_of_william_and_mary.txt
129,The George Washington University,0.4097898988401823,0.23573559996383037,0.3851837635543614,0.42526862247977787,10421.0,4014.0,938.0,7045.0,16566.0,1669.0,1471.0,802.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,,640.0,720.0,640.0,720.0,,,,,,,,0.0,0.4052,0.48710000000000003,0.10279999999999999,0.005,0.0,0.4094,0.4971,0.0902,0.0033,0.0,0.0,george_washington_university.txt
130,Smith College,0.3095155709342561,,,0.3095155709342561,,,,1789.0,5780.0,,578.0,286.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,late January,3.98,770.0,670.0,750.0,670.0,0.8395,0.1376,0.0183,0.0046,0.0,0.0,0.0,0.0,0.575,0.371,0.054000000000000006,0.0,0.0,0.5529999999999999,0.41700000000000004,0.03,0.0,0.0,0.0,smith_college.txt
131,Georgia Institute of Technology,0.3218737017033652,,,0.3218737017033652,,,,3099.0,9628.0,,,,2019-10-15 00:00:00,2020-01-13 00:00:00,,,,,4.02,680.0,770.0,670.0,730.0,0.9384,0.037000000000000005,0.0077,0.0049,0.006999999999999999,0.0039000000000000003,0.0011,0.0,0.6990999999999999,0.2647,0.0313,0.0042,0.0007000000000000001,0.5653,0.3997,0.030299999999999997,0.004,0.0007000000000000001,0.0,georgia_tech.txt
