,College Name,Admissions Rate,Yield,Men Admissions Rate,Women Admissions Rate,Men Applied,Men Admitted,Men Enrolled,Women Admitted,Women Applied,Women Enrolled,Number of ED Applicants,Number of ED Applicants Admitted,EA Deadline,EA Notification,ED I Deadline,ED I Notification,ED II Deadline,ED II Notification,Average GPA,SAT Math 25%,SAT Math 75%,SAT Reading 25%,SAT Reading 75%,GPA >3.75,GPA >3.50,GPA >3.25,GPA >3.00,GPA >2.50,GPA >2.00,GPA >1.00 ,SAT Math (200-299),SAT Math (700-800),SAT Math (600-699),SAT Math (500-599),SAT Math (400-499),SAT Math (300-399),SAT Reading (700-800),SAT Reading (600-699),SAT Reading (500-599),SAT Reading (400-499),SAT Reading (300-399),SAT Reading (200-299),filename
0,Baylor University,,,,,,,1336.0,,,,,,2019-11-01 00:00:00,2020-01-15 00:00:00,,,,,,680.0,637.0,680.0,638.0,,,,,,,,0.0,0.2,0.51,0.28,0.01,0.0,0.18,0.6,0.2,0.02,0.0,0.0,baylor_university.txt
1,University of Pennsylvania,0.09296513498131789,0.6537130689379824,0.08532440021675945,0.1006761459679825,20299.0,1732.0,1157.0,2025.0,20114.0,1299.0,6147.0,1354.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,720.0,790.0,700.0,770.0,0.85,0.09,0.05,0.01,,,,1.0,0.8440000000000001,0.147,0.009000000000000001,,,0.7979999999999999,0.183,0.019,,,1.0,upenn.txt
2,Whitman College,0.5172751776525362,0.1842728564661298,0.5148514851485149,0.5188640973630831,1616.0,832.0,159.0,1279.0,2465.0,230.0,179.0,127.0,,,2019-11-15 00:00:00,2019-12-20 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,3.75,620.0,730.0,630.0,720.0,0.5,0.29,0.11,0.08,0.02,0.0,0.0,0.0,0.41,0.4,0.17,0.02,0.0,0.43,0.43,0.13,0.01,0.0,0.0,whiteman_college.txt
3,Illinois Institute of Technology,0.5405692438402718,0.1850687622789784,0.5063526495196777,0.6151249155975692,3227.0,1634.0,322.0,911.0,1481.0,149.0,,,,,,,CDS-C Page 11,,,650.0,730.0,580.0,680.0,,,,,,,,0.0,0.4744,0.4744,0.0512,0.0,0.0,0.2051,0.4808,0.26280000000000003,0.0513,0.0,0.0,illinois_institute_of_technology.txt
4,Pomona College,0.07613469985358712,0.5282051282051282,0.09214160180768265,0.06595336953050143,3983.0,367.0,188.0,413.0,6262.0,224.0,1250.0,207.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,,700.0,780.0,695.0,750.0,,,,,,,,0.0,0.7702,0.19760000000000003,0.0323,0.0,0.0,0.75,0.2419,0.008100000000000001,0.0,0.0,0.0,pomona.txt
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,renseler_polytechnic_institute.txt
6,Dickinson College,0.4871233799023733,0.2093987560469938,0.4841930116472546,0.489115069267741,2404.0,1164.0,260.0,1730.0,3537.0,346.0,376.0,257.0,2019-12-01 00:00:00,2020-02-15 00:00:00,2019-11-15 00:00:00,Mid-December,2020-01-15 00:00:00,Mid-February,,610.0,720.0,620.0,700.0,,,,,,,,0.0,0.3311,0.4915,0.17059999999999997,0.0068000000000000005,0.0,0.2662,0.6143,0.1195,0.0,0.0,0.0,dickinson_college.txt
7,CORNELL UNIVERSITY,0.12674589170688152,0.5617242536061724,0.10994490690473319,0.14558903121053582,24867.0,2734.0,1577.0,3228.0,22172.0,1772.0,5401.0,1393.0,,,2019-11-01 00:00:00,Mid-December,CDS-C Page 11,,,700.0,790.0,690.0,760.0,,,,,,,,0.0,0.759,0.205,0.036000000000000004,0.0,0.0,0.713,0.258,0.028999999999999998,0.0,0.0,0.0,cornell_university.txt
8,University of Southern California,,,,,,,,,,,,,,,,,CDS-C Page 11,,3.76,650.0,770.0,650.0,730.0,0.6372,0.2275,0.0832,0.0346,0.0143,0.0033,0.0,0.0,0.575,0.3043,0.10830000000000001,0.011699999999999999,0.0007000000000000001,0.4623,0.455,0.0732,0.0088,0.0007000000000000001,0.0,usc.txt
9,University of California - Merced,0.7416698582918422,0.13168086754453912,0.7256582343830666,0.7555119164509506,9685.0,7028.0,973.0,8464.0,11203.0,1067.0,,,Early action notification date,,,,Other early decision plan notification date,,,,,420.0,520.0,0.221,0.28600000000000003,0.28,0.21,0.003,0.0,0.0,,0.006,0.053,0.287,0.528,0.121,0.017,0.10400000000000001,0.36700000000000005,0.43,0.079,,uc_merced.txt
10,Knox College,0.7153941651148356,0.15357917570498916,0.6745976207137858,0.7479085331846068,1429.0,964.0,167.0,1341.0,1793.0,187.0,50.0,27.0,2019-12-01 00:00:00,2020-01-15 00:00:00,2019-11-01 00:00:00,2019-11-15 00:00:00,CDS-C Page 11,,3.38,580.0,695.0,560.0,670.0,0.255,0.19260000000000002,0.17559999999999998,0.1813,0.17559999999999998,0.017,0.0028000000000000004,1.0,0.231,0.366,0.354,0.037000000000000005,,0.134,0.512,0.317,0.037000000000000005,,1.0,know_college.txt
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university_of_minnesota-twin_cities.txt
12,Scripps College,0.33368532206969376,0.3449367088607595,,0.33368532206969376,,,,948.0,2841.0,327.0,292.0,113.0,,Common Data Set 2017-2018,2019-11-15 00:00:00,Mid-December,,2020-01-01 00:00:00,,,,630.0,730.0,0.795,0.099,0.078,0.022000000000000002,0.003,0.003,0.0,0.0,0.45799999999999996,0.46399999999999997,0.077,0.0,0.0,0.601,0.35700000000000004,0.042,0.0,0.0,0.0,scripps_college.txt
13,"University of California, Riverside",0.5723410100270134,0.18303267869285228,0.5546472272845613,0.5862238019365118,19205.0,10652.0,2000.0,14349.0,24477.0,2576.0,,,,,,,,,,540.0,660.0,550.0,640.0,0.4976,0.2987,0.1457,0.053200000000000004,0.0048,0.0,0.0,0.0003,0.13699999999999998,0.35369999999999996,0.4328,0.07519999999999999,0.0009,0.069,0.4105,0.44439999999999996,0.0746,0.0015,0.0,uc_riverside.txt
14,St. Lawrence University,0.5148845686512759,0.19646017699115045,,0.5148845686512759,,,,1695.0,3292.0,333.0,332.0,253.0,,,2019-11-01 00:00:00,on a continual basis,2020-02-01 00:00:00,on a continual basis,3.55,590.0,680.0,590.0,670.0,0.387,0.245,0.145,0.124,0.09,0.006,0.003,0.0,0.17,0.51,0.29,0.03,0.0,0.16,0.57,0.24,0.03,0.0,0.0,st_lawrence_university.txt
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colorado_college.txt
16,North Carolina State University,0.5096987974235824,0.33973703433162894,0.483998825601879,0.5361541367585947,13624.0,6594.0,2422.0,7096.0,13235.0,2229.0,,,2019-10-15 00:00:00,2020-01-30 00:00:00,,,,,3.72,620.0,710.0,610.0,680.0,0.5119,0.32659999999999995,0.1285,0.0281,0.0042,0.0007000000000000001,,1.0,0.3074,0.5395,0.147,0.0060999999999999995,,0.1972,0.6445000000000001,0.1475,0.0108,,1.0,north_carolina_state_university-raleigh.txt
17,Villanova University,0.36003408606731996,0.2252465483234714,0.35320551228280406,0.3661895760194437,10014.0,3537.0,822.0,4068.0,11109.0,891.0,,,2019-11-01 00:00:00,2019-12-20 00:00:00,,,CDS-C Page 11,,3.75,640.0,740.0,630.0,710.0,0.5761,0.2983,0.0989,0.0141,0.011000000000000001,0.0016,0.0,0.0,0.42729999999999996,0.43090000000000006,0.1277,0.014199999999999999,0.0,0.305,0.5674,0.1152,0.0124,0.0,0.0,villanova_university.txt
18,Yale University,0.06942334568876465,0.6910284463894967,0.07336902637319057,0.06606691031768344,15129.0,1110.0,762.0,1175.0,17785.0,817.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,,,710.0,800.0,710.0,790.0,,,,,,,,1.0,0.8626,0.1281,0.009300000000000001,,,0.8802,0.11359999999999999,0.0062,,,1.0,yale_university.txt
19,Yeshiva University,0.5074716078900179,0.6301531213191991,0.48259860788863107,0.5339087546239211,862.0,416.0,262.0,433.0,811.0,273.0,73.0,67.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,3.52,550.0,680.0,540.0,680.0,0.38,0.21,0.16,0.13,0.09,0.03,,1.0,0.15,0.34,0.36,0.15,,0.22,0.38,0.29,0.11,,1.0,yeshiva_university.txt
20,Wheaton College,0.698421339139902,0.21044427123928294,0.6203703703703703,0.7530064754856615,1512.0,938.0,224.0,1628.0,2162.0,316.0,147.0,108.0,2019-11-01 00:00:00,2020-01-15 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,3.42,575.0,670.0,600.0,680.0,0.2802,0.1956,0.18350000000000002,0.1331,0.1754,0.0282,0.004,0.0,0.136,0.498,0.34600000000000003,0.016,0.004,0.152,0.634,0.18899999999999997,0.025,0.0,0.0,wheaton_college.txt
21,Clemson University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clemson_university.txt
22,University of Denver,0.5804863344051447,0.12835381685996192,0.5673946613721598,0.5914375346004798,9066.0,5144.0,690.0,6410.0,10838.0,793.0,363.0,168.0,2019-11-01 00:00:00,2020-01-15 00:00:00,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-15 00:00:00,2020-02-20 00:00:00,3.67,670.0,621.0,680.0,629.0,0.527,0.175,0.145,0.102,0.049,0.003,0.0,0.0,0.128,0.513,0.316,0.040999999999999995,0.002,0.149,0.56,0.263,0.028999999999999998,0.0,0.0,university_of_denver.txt
23,The Ohio State University - Columbus Campus,0.990726429675425,0.24570982839313574,0.9951219512195122,0.9867452135493373,615.0,612.0,158.0,670.0,679.0,157.0,,,,,,,,,,498.0,658.0,498.0,608.0,,,,,,,,1.0,,0.4,0.4,0.1,,,0.2,0.6,0.2,,1.0,ohio_state_university-lima.txt
24,Hope Colege,0.756075194864741,0.2346876895087932,0.7136752136752137,0.7815712187958884,1638.0,1169.0,268.0,2129.0,2724.0,506.0,,,2019-11-01 00:00:00,2019-11-24 00:00:00,,,,Admissions CDS-C Page 11,3.79,540.0,660.0,570.0,670.0,0.695,0.157,0.075,0.044000000000000004,0.028999999999999998,0.0,0.0,0.0,0.153,0.35100000000000003,0.424,0.069,0.003,0.136,0.45899999999999996,0.34299999999999997,0.062,0.0,0.0,hope_college.txt
25,The Ohio State University - Columbus Campus,0.9932203389830508,0.24744027303754265,0.9944933920704846,0.9918793503480279,908.0,903.0,235.0,855.0,862.0,200.0,,,,,,,,,,468.0,630.0,500.0,633.0,,,,,,,,0.0,0.03,0.37,0.32,0.18,0.1,0.0,0.37,0.45,0.16,0.02,0.0,ohio_state_university-mansfield.txt
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university_of_delaware.txt
27,The Ohio State University - Columbus Campus,0.9873170731707317,0.41304347826086957,0.9886578449905482,0.9858870967741935,529.0,523.0,233.0,489.0,496.0,185.0,,,,,,,,,,515.0,640.0,535.0,625.0,,,,,,,,0.0,0.1,0.38,0.42,0.1,0.0,0.07,0.45,0.41,0.07,0.0,0.0,ohio_state_university-marion.txt
28,New York University,0.27664161732310527,0.33907494211328854,0.2792427059225253,0.2748207171314741,26357.0,7360.0,2589.0,10347.0,37650.0,3415.0,7814.0,2789.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,3.66,640.0,760.0,650.0,730.0,0.41,0.28,0.19,0.09,,0.01,,1.0,0.54,0.35,0.11,,,0.46,0.47,0.07,,,1.0,new_york_university.txt
29,Centre College,,,,,,,,,,,,,2019-12-01 00:00:00,2020-01-15 00:00:00,2019-11-15 00:00:00,2019-12-15 00:00:00,,,,580.0,730.0,590.0,680.0,0.5062,0.212,0.0898,0.0973,0.0823,0.0125,0.0,1.0,0.3625,0.3125,0.325,,,0.2,0.5375,0.25,,,1.0,centre_college.txt
30,Carleton College,0.21203262040313894,0.3788098693759071,0.22294077603812118,0.2030328559393429,2938.0,655.0,249.0,723.0,3561.0,273.0,725.0,215.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-15 00:00:00,2020-02-15 00:00:00,,680.0,770.0,680.0,760.0,,,,,,,,1.0,0.6942,0.24789999999999998,0.0579,,,0.6983,0.2645,0.0331,,,1.0,carleton_college.txt
31,Pepperdine University,0.39849624060150374,0.18460548885077188,0.44252163164400493,0.3752448100274187,4045.0,1790.0,339.0,2874.0,7659.0,522.0,,,,,,7/26/2018 CDS-C 11,,,3.64,600.0,700.0,600.0,690.0,0.37,0.24,0.19,0.12,0.07,0.01,0.0,0.0,0.26,0.5,0.22,0.01,0.0,0.21,0.59,0.19,0.01,0.0,0.0,pepperdine_university.txt
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rensselaer_polytechnic_institute.txt
33,Hillsdale College,0.4149038461538462,0.4287369640787949,0.4056603773584906,0.4245098039215686,1060.0,430.0,183.0,433.0,1020.0,187.0,233.0,100.0,,,2019-11-01 00:00:00,2019-12-01 00:00:00,,,3.87,620.0,710.0,660.0,730.0,0.82,0.1,0.04,0.03,0.01,,,1.0,0.32299999999999995,0.509,0.168,,,0.485,0.449,0.066,,,1.0,hillsdale_college.txt
34,,0.5029821073558648,,0.5248618784530387,0.4906832298136646,181.0,95.0,,158.0,322.0,,,,,,,,,CDS-C Page 11,3.11,450.0,540.0,450.0,560.0,0.22,0.09,0.19,0.09,0.17,0.19,0.05,0.0,0.0,0.07,0.43,0.4,0.1,0.0,0.19,0.26,0.47,0.08,0.0,university_of_pittsburg-titusville.txt
35,Stony Brook University,0.4197948609495612,0.10850125944584382,0.4147733569766153,0.424375695076332,18046.0,7485.0,1719.0,8395.0,19782.0,4.0,,,,,,,,,3.85,630.0,740.0,600.0,680.0,0.6435,0.20489999999999997,0.0721,0.061399999999999996,0.0139,0.0033,0.0009,0.0,0.46,0.406,0.131,0.004,0.0,0.198,0.5720000000000001,0.19899999999999998,0.031,0.0,0.0,stony_brooke_university.txt
36,Barnard College,0.15422498703991705,0.5,,0.15422498703991705,,,,1190.0,7716.0,595.0,934.0,289.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,CDS-C Page 11,,4.0,650.0,740.0,660.0,760.0,0.8,0.16,0.03,0.0,0.01,,,0.0,0.53,0.37,0.09,0.01,0.0,0.64,0.28,0.07,0.01,0.0,0.0,barnard_college.txt
37,University of Notre Dame,0.1857245410727105,1.1325234676974048,,0.1857245410727105,,,1038.0,1811.0,9751.0,1013.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,,,690.0,770.0,680.0,750.0,,,,,,,,1.0,0.7,0.263,0.034,0.003,,0.654,0.314,0.027999999999999997,0.004,,1.0,notre_dame.txt
38,William Marsh Rice University,0.1645190980211689,0.7328671328671329,,0.1645190980211689,,,539.0,1430.0,8692.0,509.0,1603.0,329.0,Rice University,,2019-11-01 00:00:00,2019-12-15 00:00:00,Rice University,,,,,,,,,,,,,,0.0,0.84,0.12,0.04,0.0,0.0,0.83,0.12,0.04,0.0,0.0,0.0,rice_university.txt
39,The Ohio State University - Columbus Campus,0.988527724665392,0.5531914893617021,0.9875518672199171,0.9893617021276596,241.0,238.0,142.0,279.0,282.0,144.0,,,,,,,,CDS-C Page 10,,505.0,560.0,495.0,625.0,,,,,,,,0.0,0.0,0.11,0.78,0.11,0.0,0.0,0.45,0.33,0.22,0.0,0.0,ohio_state_university-wooster.txt
40,The University of Arizona,0.8357831468697929,0.21018904197372637,0.8197445305068624,0.8482795129698253,14718.0,12065.0,2654.0,16024.0,18890.0,3250.0,,,,,,,,,3.3,560.0,690.0,540.0,650.0,0.2321,0.1646,0.16620000000000001,0.1574,0.22899999999999998,0.050199999999999995,0.0004,0.0,0.11779999999999999,0.3757,0.4045,0.08869999999999999,0.013300000000000001,0.0974,0.4075,0.3644,0.08689999999999999,0.0271,0.0167,university_of_arizona.txt
41,Trinity College,0.29690103298900367,0.6509539842873177,0.29690103298900367,,3001.0,891.0,277.0,,,303.0,552.0,315.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,3.6,640.0,710.0,620.0,710.0,0.423,0.258,0.147,0.102,0.061,0.009000000000000001,0.0,0.0,0.331,0.561,0.10800000000000001,0.0,0.0,0.273,0.617,0.11,0.0,0.0,0.0,trinity_college.txt
42,RUTERS UNIVERSITY - CAMDEN,0.7010352841749419,0.22814948764315854,0.7010352841749419,,4733.0,3318.0,334.0,,,423.0,,,2019-11-01 00:00:00,2020-01-31 00:00:00,,,,,,500.0,590.0,500.0,590.0,,,,,,,,1.0,0.03,0.19,0.55,0.22,0.01,0.03,0.2,0.53,0.23,0.01,1.0,rutgers_university--camden.txt
43,RUTGERS UNIVERSITY - NEWARK,0.6175318315377081,0.3486650806238435,0.6175318315377081,,6126.0,3783.0,602.0,,,717.0,,,2019-11-01 00:00:00,2020-01-31 00:00:00,,,,,,510.0,590.0,500.0,580.0,,,,,,,,1.0,0.03,0.19,0.58,0.2,,0.01,0.18,0.59,0.21,,1.0,rutgers_university--newark.txt
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beloit_college.txt
45,Grinnell College,0.20522607163828538,0.592274678111588,0.20522607163828538,,3406.0,699.0,197.0,,,217.0,365.0,173.0,,,2019-11-15 00:00:00,Mid-December,2020-01-01 00:00:00,late January,,680.0,780.0,640.0,750.0,,,,,,,,,,,,,,0.687,0.258,0.055,0.0,0.0,0.0,grinell_college.txt
46,HAVERFORD COLLEGE,,,,,,,,,,,,,,,,2020-01-01 00:00:00,2020-02-15 00:00:00,Common Data Set 2017-2018,,690.0,770.0,700.0,760.0,,,,,,,,0.0,0.698,0.2772,0.0248,0.0,0.0,0.8019,0.1931,0.005,0.0,0.0,0.0,haverford_college.txt
47,RUTGERS UNIVERSITY - NEW BRUNSWICK,0.5798277019467443,0.6045344910757356,0.5798277019467443,,17876.0,10365.0,3126.0,,,3140.0,,,2019-11-01 00:00:00,2020-01-31 00:00:00,,,,,,600.0,720.0,590.0,680.0,,,,,,,,1.0,0.36,0.41,0.21,0.02,,0.21,0.5,0.26,0.03,,1.0,rutgers_university--new_brunswick.txt
48,,0.22079068125661844,0.48361310951239006,,0.22079068125661844,0.0,0.0,0.0,1251.0,5666.0,605.0,714.0,248.0,,,2019-11-01 00:00:00,Mid December,N/A,N/A,,,,,,,,,,,,,1.0,0.6048,0.3629,0.0282,,,0.7137,0.254,0.0323,,,1.0,wellesley_college.txt
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bowdoin_college.txt
50,"University of California, Irvine",0.3650090479659702,0.21034671474101022,0.3556396782307673,0.37337871810273865,40153.0,14280.0,3032.0,16783.0,44949.0,3502.0,,,,,,,,,3.97,590.0,730.0,580.0,680.0,0.82,0.12,0.04,0.02,,,,1.0,0.37,0.35,0.25,0.03,,0.2,0.47,0.32,0.01,,1.0,uc_irvine.txt
51,University of Vermont,0.671956709563003,0.17743791026595385,0.6076215797053285,0.716754088244369,9027.0,5485.0,995.0,9292.0,12964.0,1627.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,CDS-C Page 11,,3.66,580.0,670.0,600.0,680.0,0.47609999999999997,0.2446,0.1677,0.078,0.031,0.0015,0.0011,0.0,0.13019999999999998,0.5294,0.3214,0.019,0.0,0.1727,0.5808,0.2305,0.016,0.0,0.0,university_of_vermont.txt
52,University of Pittsburgh - Bradford,0.4913426984645541,,0.5038363171355499,0.4835805084745763,1173.0,591.0,,913.0,1888.0,,,,,,,,,,3.31,490.0,580.0,490.0,580.0,0.21,0.22,0.17,0.14,0.18,0.07,0.01,0.0,0.03,0.16,0.55,0.24,0.02,0.01,0.2,0.52,0.25,0.02,0.0,university_of_pittsburg-bradford.txt
53,Davidson College,0.20236206592631764,0.4520905923344948,0.21442805898764447,0.19279393173198484,2509.0,538.0,268.0,610.0,3164.0,251.0,715.0,319.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-02 00:00:00,2020-02-01 00:00:00,,650.0,730.0,660.0,740.0,0.8220000000000001,0.08810000000000001,0.0725,0.013500000000000002,0.0039000000000000003,,,1.0,0.48729999999999996,0.4582,0.0545,,,0.5236,0.4219,0.0545,,,1.0,davidson_college.txt
54,Emory University,0.22040678822588117,0.2651891478792511,0.233354403708386,0.21178533847772713,9492.0,2215.0,581.0,3019.0,14255.0,807.0,2475.0,678.0,N/A,N/A,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,3.76,680.0,780.0,670.0,740.0,0.597,0.29,0.087,0.023,0.004,,,1.0,0.6709999999999999,0.29100000000000004,0.038,,,0.585,0.387,0.026000000000000002,,,1.0,emory_university.txt
55,Furman University,0.6117552978808477,0.22875816993464052,0.5855764347384459,0.6287504121332015,1969.0,1153.0,279.0,1907.0,3033.0,421.0,112.0,104.0,2019-11-01 00:00:00,2019-12-20 00:00:00,2019-11-01 00:00:00,2019-11-15 00:00:00,,,,590.0,690.0,600.0,690.0,,,,,,,,0.0,0.20980000000000001,0.47200000000000003,0.2867,0.027999999999999997,0.0034999999999999996,0.23079999999999998,0.528,0.22030000000000002,0.021,0.0,0.0,furman_university.txt
56,Wake Forest University,0.14872618774386046,0.37808641975308643,,0.26058981233243966,5611.0,,,1944.0,7460.0,735.0,1842.0,815.0,,,2019-11-15 00:00:00,Rolling,,,,630.0,730.0,630.0,710.0,,,,,,,,1.0,0.46380000000000005,0.3699,0.1409,0.0254,,0.3346,0.546,0.10369999999999999,0.015700000000000002,,1.0,wake_forest.txt
57,SARAH LAWRENCE COLLEGE,0.6270491803278688,0.8562091503267973,0.6270491803278688,,732.0,459.0,113.0,,,280.0,216.0,150.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-02 00:00:00,2020-02-15 00:00:00,3.71,590.0,680.0,650.0,730.0,0.47619999999999996,0.2349,0.1492,0.0984,0.041299999999999996,,,0.0,0.20920000000000002,0.4706,0.281,0.0327,0.006500000000000001,0.451,0.4314,0.10460000000000001,0.0131,0.0,0.0,sarah_lawrence_college.txt
58,Lawrence University,,,,,,,,,,186.0,,,11/1/ (Early,12/15 (Early,2019-10-31 00:00:00,2019-12-01 00:00:00,2019-11-01 00:00:00,2019-12-15 00:00:00,3.45,600.0,730.0,620.0,730.0,0.29,0.21,0.19,0.16,0.14,0.01,0.0,0.0,0.374,0.384,0.222,0.02,0.0,0.414,0.445,0.121,0.01,0.01,0.0,lawrence_university.txt
59,,0.5007739938080495,0.4188562596599691,0.5007739938080495,,1292.0,647.0,131.0,,,140.0,60.0,44.0,2019-12-01 00:00:00,2020-01-15 00:00:00,2019-11-01 00:00:00,2019-12-15 00:00:00,,CDS-C FT FY ADMISSIONS Page 9,3.73,590.0,690.0,570.0,690.0,0.5517,0.1379,0.1801,0.0959,0.0268,0.0038,0.0038,0.0,0.2286,0.4514,0.2914,0.0286,0.0,0.21710000000000002,0.4172,0.3486,0.0171,0.0,0.0,earlham_college.txt
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swarthmore_college.txt
61,California Institute of Technology,0.048689834603233596,0.8969465648854962,0.048689834603233596,,5381.0,262.0,127.0,,,108.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,CDS-C Page 11,,,780.0,800.0,750.0,790.0,,,,,,,,1.0,1.0,,,,,0.9934000000000001,,,,,1.0,caltech.txt
62,Brigham Young University,0.5240317312179188,0.7943009795191451,0.512660485021398,0.5328275862068965,5608.0,2875.0,2339.0,3863.0,7250.0,3013.0,,,,,,,,,3.84,600.0,700.0,610.0,710.0,0.7778,0.1618,0.042800000000000005,0.0141,0.0031,0.0004,0.0,0.0,0.25420000000000004,0.5234000000000001,0.1996,0.022099999999999998,0.0007000000000000001,0.3069,0.5143,0.15539999999999998,0.022799999999999997,0.0006,0.0,bringham_youn_university.txt
63,,0.09858814281827251,0.536031892057651,0.09959324540860348,0.09762031926888612,16226.0,1616.0,856.0,1645.0,16851.0,892.0,3451.0,852.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,710.0,800.0,680.0,780.0,,,,,,,,0.0,0.78,0.18,0.04,0.0,0.0,0.72,0.21,0.06,0.01,0.0,0.0,duke_university.txt
64,,0.45802005012531327,0.24623803009575923,0.4584615384615385,0.457646718704828,2925.0,1341.0,349.0,1583.0,3459.0,371.0,415.0,286.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-15 00:00:00,2020-02-15 00:00:00,,630.0,700.0,640.0,710.0,,,,,,,,1.0,0.33,0.63,0.04,,,0.31,0.66,0.03,,,1.0,gettysburg_college.txt
65,Skidmore College,,,,,,,274.0,,,387.0,,,,,November 15 EARLY DECISION,December 15 ED1= 369,January 15 ED1= 247,February 15 ED1= 232,,650.0,650.0,653.0,660.0,,,,,,,,0.0,0.282,0.469,0.23800000000000002,0.011000000000000001,0.0,0.78,1.3,0.66,0.03,0.0,0.0,skidmore_college.txt
66,University of Pittsburgh - Pittsburgh Campus,0.5926918310613927,,0.5868133512947163,0.59745377387087,13362.0,7841.0,,9855.0,16495.0,,,,,,,,,,4.07,640.0,730.0,630.0,700.0,0.79,0.12,0.05,0.03,0.01,0.0,0.0,0.0,0.42,0.48,0.09,0.01,0.0,0.28,0.63,0.08,0.01,0.0,0.0,university_of_pittsburg-pittsburg.txt
67,Bryn Mawr College,0.3801089918256131,0.3172043010752688,,0.3801089918256131,,,,1116.0,2936.0,354.0,276.0,145.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,,660.0,770.0,650.0,730.0,,,,,,,,1.0001,0.5606,0.36869999999999997,0.06570000000000001,,,0.5303,0.3889,0.0808,,,1.0,bryn_mawr_college.txt
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,case_western_university.txt
69,The College of Wooster,0.5643811219946572,0.17923635216156517,0.5358565737051793,0.58743961352657,2510.0,1345.0,252.0,1824.0,3105.0,316.0,29.0,,Data Set 2017-18,,,,,,,24.0,30.0,570.0,680.0,0.49,0.2,0.14,,0.09,0.07,0.01,0.0,0.25,0.42,0.31,0.02,0.0,0.16,0.49,0.31,0.04,0.0,0.0,college_of_wooster.txt
70,Middlebury College,,,,,3979.0,,292.0,,9227.0,,853.0,399.0,,Common Data Set 2018-2019,2019-11-01 00:00:00,Mid-December,2020-01-01 00:00:00,early February,,,,,,,,,,,,,,,,,,,,,,,,,middlebury_college.txt
71,Brandeis University,0.3422062963910929,0.21391174270755423,0.3117223313686968,0.36176470588235293,4581.0,1428.0,328.0,2583.0,7140.0,530.0,786.0,322.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,3.85,650.0,760.0,630.0,710.0,0.6093,0.2275,0.0913,0.0398,0.0296,0.0026,0.0,0.0,0.49729999999999996,0.3856,0.10640000000000001,0.0106,0.0,0.3617,0.516,0.10369999999999999,0.016,0.0027,0.0,brandeis_university.txt
72,Clark University,0.550652579241765,0.15101580135440182,0.4819383259911894,0.6010775862068966,3405.0,1641.0,243.0,2789.0,4640.0,426.0,48.0,35.0,2019-11-01 00:00:00,2019-12-15 00:00:00,2019-11-01 00:00:00,2019-12-15 00:00:00,F15_CDS-C Page 10,,3.66,560.0,670.0,560.0,670.0,0.48,0.242,0.14300000000000002,0.083,0.05,0.002,0.0,0.0,0.145,0.478,0.29600000000000004,0.079,0.002,0.16899999999999998,0.46399999999999997,0.325,0.04,0.002,0.0,clark_university.txt
